frame,object_id,x_center,y_center,velocity_px_per_frame,direction_deg
0,1,305.52,595.45,0.0,0.0
1,1,308.84,597.07,3.694,26.01
2,1,312.67,598.91,4.249,25.66
3,1,316.85,601.76,5.059,34.29
4,1,321.08,604.21,4.888,30.08
5,1,325.08,607.03,4.894,35.18
6,1,329.24,609.3,4.739,28.62
7,1,333.97,612.07,5.481,30.35
8,1,338.27,614.36,4.872,28.04
9,1,342.33,616.43,4.557,27.01
10,1,346.48,619.19,4.984,33.63
11,1,350.43,621.34,4.497,28.56
12,1,354.37,624.11,4.816,35.11
13,1,358.5,626.4,4.722,29.01
14,1,363.12,629.23,5.418,31.49
15,1,367.49,631.74,5.04,29.87
16,1,371.53,633.58,4.439,24.49
17,1,375.5,636.07,4.686,32.1
18,1,379.57,637.33,4.261,17.2
0,2,228.59,184.38,0.0,0.0
1,2,228.54,180.08,4.3,-90.67
2,2,229.29,175.44,4.7,-80.82
3,2,230.25,170.19,5.337,-79.64
4,2,230.59,165.04,5.161,-86.22
5,2,231.36,159.93,5.168,-81.43
6,2,232.33,154.77,5.25,-79.35
7,2,232.64,149.76,5.02,-86.46
8,2,233.44,144.72,5.103,-80.98
9,2,234.36,140.33,4.485,-78.16
10,2,234.69,135.47,4.871,-86.12
11,2,235.48,130.51,5.023,-80.95
12,2,236.31,125.5,5.078,-80.59
13,2,237.34,120.58,5.027,-78.18
14,2,237.66,115.5,5.09,-86.4
15,2,238.38,110.47,5.081,-81.85
16,2,239.33,105.41,5.148,-79.37
17,2,239.63,101.15,4.271,-85.97
18,2,240.37,96.42,4.788,-81.11
19,2,241.35,91.47,5.046,-78.8
20,2,241.73,86.42,5.064,-85.7
21,2,242.5,81.36,5.118,-81.35
22,2,243.41,76.36,5.082,-79.69
23,2,244.27,71.39,5.044,-80.18
24,2,244.73,66.43,4.981,-84.7
25,2,245.47,62.06,4.432,-80.39
26,2,246.38,57.25,4.895,-79.29
27,2,246.67,52.4,4.859,-86.58
28,2,247.44,47.46,5.0,-81.14
29,2,248.4,42.43,5.121,-79.19
30,2,248.76,37.5,4.943,-85.82
31,2,249.5,32.53,5.025,-81.53
32,2,250.37,27.49,5.115,-80.21
33,2,251.36,22.41,5.176,-78.97
34,2,251.76,18.01,4.418,-84.81
35,2,252.44,13.28,4.779,-81.82
36,2,253.45,8.46,4.925,-78.17
37,2,253.8,4.3,4.175,-85.19
38,2,254.5,2.08,2.328,-72.5
0,3,368.55,83.22,0.0,0.0
1,3,365.2,84.05,3.451,166.08
2,3,361.72,85.85,3.918,152.65
3,3,358.31,87.97,4.015,148.13
4,3,354.28,89.12,4.191,164.07
5,3,350.89,91.05,3.901,150.35
6,3,346.91,93.06,4.459,153.21
7,3,343.71,94.94,3.711,149.57
8,3,339.65,96.41,4.318,160.1
9,3,336.56,98.05,3.498,152.04
10,3,332.85,100.03,4.205,151.91
11,3,329.49,102.06,3.926,148.86
12,3,325.84,103.53,3.935,158.06
13,3,322.25,105.1,3.918,156.38
24,3,283.59,124.03,43.046,153.91
25,3,279.85,126.2,4.324,149.88
26,3,276.5,128.14,3.871,149.92
28,3,269.5,131.37,7.709,155.23
29,3,265.62,133.32,4.342,153.32
30,3,262.58,135.46,3.718,144.86
31,3,258.87,136.69,3.909,161.66
36,3,241.61,145.07,19.187,154.1
37,3,237.74,147.07,4.356,152.67
38,3,234.45,148.41,3.552,157.84
48,3,199.77,166.47,39.101,152.49
